S1,S2,S3,S4,Clase
3258,1755,1274,0,Indice
3184,1450,1648,0,Indice
3255,1824,2367,0,Indice
3339,1916,1805,144,Indice
3328,1661,467,173,Indice
3275,891,41,115,Indice
3232,996,343,44,Indice
3271,695,1392,0,Indice
3258,995,1061,0,Indice
3248,1776,1970,0,Indice
3274,1018,506,0,Indice
3300,1231,1678,0,Indice
3263,1439,1790,29,Indice
3280,1361,2262,0,Indice
3293,815,2259,0,Indice
3225,1691,2027,141,Indice
3248,1793,3227,154,Indice
3265,1798,3037,152,Indice
3209,1856,2653,283,Indice
3274,1879,2368,144,Indice
3287,1889,2317,228,Indice
3264,1907,2592,109,Indice
3266,1734,2750,155,Indice
3258,1814,3227,199,Indice
3246,1909,2958,273,Indice
3242,2234,3274,227,Indice
3246,1955,3263,134,Indice
3247,2153,3104,144,Indice
3285,2132,3280,97,Indice
3283,2320,3280,75,Indice
3277,2007,3267,139,Indice
3280,2159,2992,165,Indice
3249,2021,3264,116,Indice
3258,1592,3245,166,Indice
3233,1597,3100,269,Indice
3196,2067,2182,447,Indice
3221,2301,2935,499,Indice
3167,2141,3266,556,Indice
3273,2013,2895,573,Indice
3207,2242,3273,487,Indice
3253,1997,2951,511,Indice
3262,1966,3013,640,Indice
3258,1887,3282,482,Indice
3261,2678,3275,565,Indice
3280,2159,3263,418,Indice
3294,1530,3277,331,Indice
3303,3241,3280,418,Indice
3269,3234,3299,225,Indice
3248,3233,3234,140,Indice
3257,3275,3264,304,Indice
3249,2499,3242,171,Indice
3251,3027,3256,177,Indice
3261,2474,3269,225,Indice
3246,2512,3290,320,Indice
3184,2369,3245,220,Indice
3269,1825,2693,155,Indice
3275,2559,3270,143,Indice
3239,3187,3223,292,Indice
3261,2408,3267,196,Indice
3248,2203,3242,301,Indice
3243,2730,3301,320,Indice
3237,2367,3255,181,Indice
3313,1968,3210,176,Indice
3234,2546,3263,208,Indice
3255,1951,3223,382,Indice
3273,2612,3323,324,Indice
3248,2223,2603,505,Indice
3262,1453,2820,272,Indice
3220,1885,2426,94,Indice
3269,1791,1946,200,Indice
3264,1994,2214,208,Indice
3312,1075,2629,138,Indice
3312,1133,2378,147,Indice
3239,1728,3248,458,Indice
3260,1767,3261,611,Indice
3280,2045,2784,736,Indice
3216,1665,2466,578,Indice
3251,1219,2706,491,Indice
3305,1365,2930,459,Indice
3305,1786,2838,382,Indice
3267,2479,3260,411,Indice
3238,3268,3263,411,Indice
3305,2278,3270,231,Indice
3293,1416,2833,208,Indice
3264,1507,3258,225,Indice
3198,1453,3202,135,Indice
3244,2056,2547,199,Indice
3277,2144,2314,118,Indice
3306,2343,2510,74,Indice
3331,1841,1911,148,Indice
3239,1708,3271,154,Indice
3270,2086,2974,112,Indice
3222,1483,2249,129,Indice
3323,1966,2624,48,Indice
3267,2089,3269,225,Indice
3238,2243,2466,292,Indice
3295,2002,2541,229,Indice
3317,2448,1494,242,Indice
3253,2994,1837,395,Indice
3329,2149,2239,304,Indice
3249,2617,2934,397,Indice
3290,1746,2393,337,Indice
3265,2117,2119,349,Indice
3284,2193,1734,383,Indice
3230,2390,1872,310,Indice
3307,2512,2854,417,Indice
3265,2267,2795,443,Indice
3243,2458,1827,450,Indice
3285,2435,2989,464,Indice
3267,2559,1509,458,Indice
3278,2558,2167,368,Indice
3269,2413,2170,325,Indice
3251,1759,2514,208,Indice
3280,1901,2384,310,Indice
3251,2215,2146,298,Indice
3242,2039,2320,329,Indice
3303,2191,2734,295,Indice
3331,2160,3270,522,Indice
3274,1947,2694,374,Indice
3344,1531,1595,291,Indice
3231,1820,1775,176,Indice
3249,2235,2409,294,Indice
3257,1925,2595,247,Indice
3280,2195,2881,112,Indice
3310,2058,2825,239,Indice
3280,1757,2099,191,Indice
3280,1775,1230,327,Indice
3276,2292,2160,322,Indice
3238,1935,2343,288,Indice
3309,2454,3281,283,Indice
3251,2469,2758,286,Indice
3267,2337,2433,291,Indice
3344,2199,2023,185,Indice
3289,2281,3109,194,Indice
3277,1984,3255,181,Indice
3270,2129,2025,366,Indice
3303,1770,2401,250,Indice
3305,1916,3257,250,Indice
3266,2185,3181,112,Indice
3298,2109,3282,98,Indice
3184,2447,3251,238,Indice
3312,2271,2742,605,Indice
3255,2015,2896,555,Indice
3297,2299,2512,785,Indice
3279,2219,2774,599,Indice
