S1,S2,S3,S4,Clase
695,960,2257,0,Abrir
1617,721,2258,0,Abrir
455,565,2241,0,Abrir
826,817,2201,0,Abrir
897,784,2261,0,Abrir
1575,839,2256,0,Abrir
455,474,2256,0,Abrir
1504,555,2262,0,Abrir
1290,44,2274,144,Abrir
1571,159,2258,0,Abrir
1723,687,2242,47,Abrir
891,891,2288,0,Abrir
803,787,2274,52,Abrir
1386,479,2279,272,Abrir
1466,574,2267,394,Abrir
1350,126,2290,505,Abrir
1014,415,2253,747,Abrir
1327,701,2243,486,Abrir
1155,769,2240,409,Abrir
1735,240,2251,416,Abrir
1710,571,2247,352,Abrir
1369,1050,2241,205,Abrir
1666,956,2203,357,Abrir
461,183,2240,426,Abrir
1503,496,2274,250,Abrir
816,669,2263,475,Abrir
1413,863,2259,362,Abrir
1619,893,2287,138,Abrir
1958,586,2263,196,Abrir
672,915,2258,637,Abrir
1280,976,2274,973,Abrir
1697,443,2262,1062,Abrir
1326,348,2263,1467,Abrir
1513,464,2275,1395,Abrir
1114,386,2263,1392,Abrir
1261,193,2240,1410,Abrir
1175,407,2244,1263,Abrir
717,400,2235,1481,Abrir
1057,891,2251,1322,Abrir
1264,705,2207,1436,Abrir
344,450,2292,834,Abrir
677,213,2253,938,Abrir
483,527,2271,821,Abrir
1680,83,2233,301,Abrir
1746,252,2283,112,Abrir
847,74,2265,32,Abrir
1107,787,2275,0,Abrir
1040,655,2229,0,Abrir
1835,1290,2258,0,Abrir
1158,895,2257,0,Abrir
1315,976,2249,0,Abrir
1037,501,2231,0,Abrir
859,320,2230,39,Abrir
1685,287,2235,0,Abrir
816,621,2255,0,Abrir
1121,694,2263,0,Abrir
281,1054,2255,39,Abrir
16,880,2288,0,Abrir
567,958,2259,0,Abrir
1324,1252,2252,83,Abrir
1683,1483,2272,192,Abrir
774,662,2238,350,Abrir
1786,395,2230,291,Abrir
1135,7,2259,222,Abrir
990,461,2230,213,Abrir
1268,525,2244,267,Abrir
1808,259,2254,249,Abrir
1871,474,2250,321,Abrir
1987,329,2259,432,Abrir
1558,443,2272,593,Abrir
2000,853,2311,624,Abrir
1815,854,2240,911,Abrir
1718,406,2277,587,Abrir
1661,816,2274,720,Abrir
1845,634,2263,778,Abrir
1417,727,2297,771,Abrir
1136,1039,2263,785,Abrir
937,1104,2255,609,Abrir
1194,717,2225,560,Abrir
893,914,2270,581,Abrir
528,1043,2269,503,Abrir
1072,720,2274,592,Abrir
1993,538,2287,762,Abrir
1851,996,2285,959,Abrir
1408,960,2258,930,Abrir
1162,630,2288,1267,Abrir
1058,1223,2257,1424,Abrir
1570,977,2277,1267,Abrir
1106,439,2283,1179,Abrir
1327,296,2261,1230,Abrir
1572,258,2261,1312,Abrir
1456,330,2228,1431,Abrir
1457,143,2282,1040,Abrir
1213,528,2267,1106,Abrir
694,758,2256,928,Abrir
1617,482,2261,710,Abrir
1705,560,2273,372,Abrir
511,814,2241,466,Abrir
1417,736,2207,210,Abrir
1691,1071,2257,241,Abrir
1642,362,2256,39,Abrir
1792,499,2287,14,Abrir
2039,485,2273,0,Abrir
2103,869,2267,0,Abrir
1877,467,2288,0,Abrir
477,974,2272,0,Abrir
944,225,2273,0,Abrir
1191,892,2218,0,Abrir
2078,583,2217,0,Abrir
2032,831,2236,0,Abrir
1779,531,2272,0,Abrir
1933,1022,2255,0,Abrir
1628,1267,2242,0,Abrir
1989,1367,2241,0,Abrir
1838,994,2256,0,Abrir
1419,1798,2256,0,Abrir
1617,1495,2278,0,Abrir
1342,688,2253,0,Abrir
1077,432,2273,0,Abrir
528,404,2230,0,Abrir
835,0,2247,0,Abrir
1627,259,2239,0,Abrir
1365,662,2254,0,Abrir
1339,83,2255,0,Abrir
1701,661,2230,0,Abrir
1343,1271,2265,0,Abrir
