S1,S2,S3,S4,Clase
0,0,2229,0,Cerrar
0,0,2251,10,Cerrar
0,0,2246,0,Cerrar
0,0,2240,0,Cerrar
0,0,2235,0,Cerrar
0,0,2243,0,Cerrar
0,0,2234,58,Cerrar
0,0,2221,0,Cerrar
0,0,2256,19,Cerrar
0,0,2241,30,Cerrar
0,0,2258,1,Cerrar
0,0,2239,0,Cerrar
0,0,2256,0,Cerrar
0,0,2225,0,Cerrar
0,0,2224,0,Cerrar
0,0,2212,0,Cerrar
0,0,2262,0,Cerrar
0,0,2222,0,Cerrar
0,0,2237,0,Cerrar
0,0,2219,0,Cerrar
0,0,2224,0,Cerrar
0,0,2272,0,Cerrar
0,0,2239,0,Cerrar
0,0,2236,1,Cerrar
0,0,2239,0,Cerrar
0,0,2214,0,Cerrar
0,0,2229,0,Cerrar
0,0,2208,0,Cerrar
0,0,2250,0,Cerrar
0,0,2219,0,Cerrar
0,0,2249,0,Cerrar
0,0,2282,0,Cerrar
0,0,2253,0,Cerrar
0,0,2244,0,Cerrar
0,0,2234,0,Cerrar
0,0,2231,0,Cerrar
0,0,2222,0,Cerrar
0,0,2205,0,Cerrar
0,0,2214,0,Cerrar
0,0,2285,0,Cerrar
0,0,2242,0,Cerrar
0,0,2218,0,Cerrar
0,0,2231,0,Cerrar
0,0,2255,0,Cerrar
0,0,2278,0,Cerrar
0,0,2226,0,Cerrar
0,0,2254,0,Cerrar
0,0,2226,0,Cerrar
0,0,2247,0,Cerrar
0,0,2237,0,Cerrar
0,0,2231,0,Cerrar
0,0,2260,0,Cerrar
0,0,2250,0,Cerrar
0,0,2256,0,Cerrar
0,0,2242,0,Cerrar
0,0,2246,0,Cerrar
0,0,2258,0,Cerrar
0,0,2249,0,Cerrar
0,0,2228,0,Cerrar
0,0,2247,0,Cerrar
0,0,2288,0,Cerrar
0,0,2220,0,Cerrar
0,0,2259,0,Cerrar
0,0,2229,0,Cerrar
0,0,2234,0,Cerrar
0,0,2238,0,Cerrar
0,0,2237,0,Cerrar
0,0,2222,0,Cerrar
0,0,2238,0,Cerrar
0,0,2224,220,Cerrar
0,0,2259,528,Cerrar
