S1,S2,S3,S4,Clase
0,0,2243,0,Pinza
0,0,2258,0,Pinza
0,0,2250,16,Pinza
0,0,2254,37,Pinza
0,0,2243,10,Pinza
0,0,2219,0,Pinza
0,0,2243,0,Pinza
0,0,2261,0,Pinza
0,0,2226,1,Pinza
0,0,2224,0,Pinza
0,0,2272,0,Pinza
0,0,2267,0,Pinza
0,0,2261,0,Pinza
0,0,2284,0,Pinza
0,0,2263,0,Pinza
0,0,2259,0,Pinza
0,0,2283,0,Pinza
141,0,2270,36,Pinza
0,0,2235,0,Pinza
0,0,2238,0,Pinza
501,0,2244,0,Pinza
112,0,2223,0,Pinza
0,0,2243,0,Pinza
0,0,2272,0,Pinza
0,0,2226,16,Pinza
0,0,2228,0,Pinza
0,0,2257,0,Pinza
0,0,2237,0,Pinza
0,0,2274,0,Pinza
0,0,2218,0,Pinza
0,0,2243,0,Pinza
0,0,2267,0,Pinza
0,0,2224,0,Pinza
0,0,2235,50,Pinza
0,0,2234,73,Pinza
0,0,2224,191,Pinza
0,0,2275,426,Pinza
0,0,2245,815,Pinza
315,0,2316,787,Pinza
74,0,2258,937,Pinza
0,0,2267,1173,Pinza
1,0,2240,891,Pinza
0,0,2224,853,Pinza
0,0,2235,823,Pinza
269,0,2231,727,Pinza
42,0,2250,561,Pinza
0,0,2270,622,Pinza
0,0,2254,501,Pinza
0,0,2227,400,Pinza
0,0,2256,316,Pinza
0,0,2289,656,Pinza
0,0,2290,544,Pinza
0,0,2270,493,Pinza
0,0,2263,486,Pinza
0,0,2258,449,Pinza
0,0,2207,457,Pinza
237,0,2224,590,Pinza
33,0,2247,464,Pinza
0,0,2238,362,Pinza
0,0,2242,357,Pinza
225,104,2291,337,Pinza
26,0,2277,218,Pinza
0,0,2295,159,Pinza
0,0,2229,240,Pinza
0,0,2282,453,Pinza
0,0,2259,321,Pinza
0,0,2234,272,Pinza
0,0,2262,195,Pinza
0,0,2269,183,Pinza
22,0,2263,815,Pinza
0,0,2246,704,Pinza
0,0,2269,572,Pinza
0,0,2266,303,Pinza
0,0,2257,384,Pinza
0,0,2262,304,Pinza
0,0,2271,176,Pinza
0,0,2229,298,Pinza
0,0,2245,193,Pinza
0,0,2273,240,Pinza
0,0,2235,117,Pinza
0,0,2256,189,Pinza
0,0,2273,62,Pinza
0,0,2258,58,Pinza
0,0,2275,48,Pinza
0,0,2268,45,Pinza
0,0,2243,60,Pinza
0,0,2231,35,Pinza
0,0,2230,0,Pinza
0,0,2255,129,Pinza
0,0,2253,7,Pinza
0,0,2236,161,Pinza
0,0,2256,215,Pinza
0,0,2271,272,Pinza
0,0,2269,277,Pinza
0,0,2238,367,Pinza
0,0,2255,408,Pinza
0,0,2254,261,Pinza
0,0,2275,305,Pinza
0,0,2230,565,Pinza
19,0,2235,402,Pinza
0,0,2266,464,Pinza
0,0,2257,462,Pinza
0,0,2255,488,Pinza
0,0,2266,461,Pinza
0,0,2279,422,Pinza
0,0,2272,416,Pinza
0,0,2246,337,Pinza
0,0,2263,431,Pinza
0,0,2263,383,Pinza
0,0,2222,221,Pinza
0,0,2273,254,Pinza
0,0,2254,208,Pinza
321,0,2261,285,Pinza
48,0,2225,338,Pinza
0,0,2236,205,Pinza
11,0,2266,243,Pinza
22,0,2287,237,Pinza
0,0,2263,299,Pinza
0,0,2271,317,Pinza
0,0,2282,233,Pinza
0,0,2235,119,Pinza
0,0,2258,178,Pinza
0,0,2288,499,Pinza
225,0,2235,599,Pinza
41,0,2256,429,Pinza
336,0,2253,533,Pinza
46,0,2282,464,Pinza
0,0,2239,360,Pinza
0,0,2255,209,Pinza
