S1,S2,S3,S4,Clase
0,0,2335,0,Abrir
0,0,2299,0,Abrir
0,0,2353,0,Abrir
0,0,2311,0,Abrir
0,0,2318,0,Abrir
0,0,2314,0,Abrir
0,0,2349,0,Abrir
0,0,2335,0,Abrir
0,0,2349,0,Abrir
0,0,2326,0,Abrir
0,0,2298,0,Abrir
0,0,2293,0,Abrir
0,0,2317,0,Abrir
0,0,2323,0,Abrir
0,0,2305,0,Abrir
0,0,2340,0,Abrir
0,0,2305,0,Abrir
0,0,2334,0,Abrir
0,0,2307,0,Abrir
0,0,2327,0,Abrir
0,0,2334,0,Abrir
0,0,2352,208,Abrir
0,0,2315,16,Abrir
0,0,2351,0,Abrir
0,0,2359,0,Abrir
0,0,2311,0,Abrir
0,0,2288,0,Abrir
0,0,2320,0,Abrir
0,0,2304,0,Abrir
0,0,2333,0,Abrir
0,0,2337,0,Abrir
0,0,2295,0,Abrir
0,0,2326,0,Abrir
0,0,2327,0,Abrir
0,0,2325,0,Abrir
0,0,2319,0,Abrir
0,0,2314,0,Abrir
0,0,2321,0,Abrir
0,0,2355,0,Abrir
0,0,2314,0,Abrir
0,0,2288,225,Abrir
0,0,2322,55,Abrir
0,0,2329,358,Abrir
0,0,2323,256,Abrir
0,0,2313,346,Abrir
0,0,2347,275,Abrir
0,0,2271,368,Abrir
0,0,2306,401,Abrir
0,0,2342,793,Abrir
0,0,2369,854,Abrir
0,0,2286,967,Abrir
0,0,2321,944,Abrir
0,0,2315,1299,Abrir
0,23,2327,1205,Abrir
48,219,2351,1234,Abrir
66,326,2318,1393,Abrir
19,429,2329,1599,Abrir
40,317,2343,1388,Abrir
47,122,2327,1354,Abrir
69,118,2317,1565,Abrir
7,0,2304,1239,Abrir
39,32,2320,1634,Abrir
47,0,2332,1949,Abrir
51,80,2324,1429,Abrir
37,92,2321,1338,Abrir
0,52,2375,1360,Abrir
0,0,2339,1195,Abrir
0,0,2304,924,Abrir
0,55,2303,833,Abrir
0,0,2316,961,Abrir
0,3,2329,983,Abrir
0,0,2337,970,Abrir
0,5,2337,762,Abrir
0,58,2361,614,Abrir
0,0,2325,881,Abrir
0,7,2349,742,Abrir
0,6,2293,655,Abrir
0,0,2337,601,Abrir
0,19,2320,710,Abrir
0,0,2339,914,Abrir
0,0,2331,818,Abrir
0,0,2301,645,Abrir
0,2,2324,511,Abrir
0,0,2298,637,Abrir
0,0,2347,509,Abrir
0,0,2354,243,Abrir
0,0,2322,99,Abrir
0,0,2321,8,Abrir
0,0,2334,4,Abrir
0,0,2352,16,Abrir
0,0,2363,0,Abrir
0,0,2330,0,Abrir
0,0,2342,16,Abrir
0,0,2320,0,Abrir
0,0,2323,0,Abrir
0,0,2375,0,Abrir
0,0,2362,0,Abrir
0,0,2336,0,Abrir
0,0,2317,0,Abrir
0,0,2323,0,Abrir
0,0,2345,0,Abrir
0,0,2335,0,Abrir
0,0,2289,0,Abrir
0,0,2320,0,Abrir
0,0,2324,0,Abrir
0,0,2323,0,Abrir
0,0,2320,0,Abrir
0,0,2330,84,Abrir
0,0,2305,173,Abrir
0,0,2300,174,Abrir
0,0,2319,221,Abrir
0,0,2320,281,Abrir
0,0,2309,336,Abrir
0,0,2339,357,Abrir
0,0,2314,375,Abrir
0,0,2329,534,Abrir
0,0,2337,546,Abrir
0,0,2333,669,Abrir
0,0,2323,624,Abrir
0,0,2311,690,Abrir
0,0,2335,551,Abrir
0,0,2359,302,Abrir
0,0,2309,478,Abrir
0,0,2320,379,Abrir
0,0,2290,330,Abrir
0,0,2288,294,Abrir
0,0,2297,296,Abrir
0,0,2316,240,Abrir
0,0,2322,377,Abrir
0,0,2323,255,Abrir
0,0,2338,449,Abrir
0,0,2309,337,Abrir
0,0,2321,257,Abrir
0,0,2353,204,Abrir
0,0,2352,175,Abrir
0,0,2338,182,Abrir
0,0,2341,160,Abrir
0,0,2332,199,Abrir
0,0,2342,237,Abrir
0,0,2314,81,Abrir
0,0,2321,128,Abrir
0,0,2346,7,Abrir
0,0,2322,0,Abrir
0,0,2352,0,Abrir
0,0,2307,0,Abrir
0,0,2333,0,Abrir
0,0,2319,0,Abrir
0,0,2289,54,Abrir
0,0,2352,36,Abrir
0,0,2301,2,Abrir
0,0,2317,105,Abrir
0,0,2331,2,Abrir
0,0,2313,0,Abrir
0,0,2304,0,Abrir
0,0,2318,0,Abrir
0,0,2349,0,Abrir
0,0,2307,0,Abrir
0,0,2322,0,Abrir
0,0,2334,0,Abrir
0,0,2314,0,Abrir
0,0,2325,0,Abrir
0,0,2288,0,Abrir
0,0,2272,0,Abrir
0,0,2307,0,Abrir
0,0,2338,0,Abrir
0,0,2347,0,Abrir
0,0,2353,0,Abrir
0,0,2278,0,Abrir
0,0,2335,0,Abrir
0,0,2312,0,Abrir
0,0,2341,17,Abrir
0,0,2321,116,Abrir
0,0,2330,208,Abrir
0,0,2317,336,Abrir
0,0,2330,215,Abrir
0,0,2307,411,Abrir
0,0,2287,511,Abrir
0,0,2327,353,Abrir
0,0,2305,592,Abrir
0,0,2375,717,Abrir
0,0,2303,787,Abrir
0,0,2304,803,Abrir
0,0,2351,752,Abrir
0,0,2330,870,Abrir
0,0,2277,847,Abrir
0,0,2356,592,Abrir
0,0,2321,659,Abrir
0,0,2311,657,Abrir
0,0,2369,542,Abrir
0,0,2320,486,Abrir
0,0,2316,573,Abrir
0,0,2329,524,Abrir
0,0,2341,509,Abrir
0,0,2307,540,Abrir
0,0,2321,482,Abrir
0,0,2341,598,Abrir
0,0,2327,511,Abrir
0,0,2361,423,Abrir
0,0,2316,334,Abrir
0,0,2342,243,Abrir
0,0,2326,226,Abrir
0,0,2315,99,Abrir
0,0,2321,208,Abrir
0,0,2342,282,Abrir
0,0,2327,298,Abrir
0,0,2350,449,Abrir
0,0,2368,290,Abrir
0,0,2320,336,Abrir
0,0,2323,224,Abrir
0,0,2323,143,Abrir
0,0,2346,7,Abrir
0,0,2325,0,Abrir
0,0,2308,0,Abrir
0,0,2304,0,Abrir
0,0,2309,3,Abrir
0,0,2301,0,Abrir
0,0,2330,0,Abrir
0,0,2326,0,Abrir
0,0,2341,0,Abrir
0,0,2325,0,Abrir
0,0,2334,0,Abrir
0,0,2336,0,Abrir
0,0,2352,0,Abrir
0,0,2323,0,Abrir
0,0,2320,0,Abrir
0,0,2328,0,Abrir
0,0,2338,0,Abrir
0,0,2343,0,Abrir
0,0,2378,0,Abrir
0,0,2342,0,Abrir
0,0,2325,0,Abrir
0,0,2343,0,Abrir
0,0,2318,0,Abrir
0,0,2349,0,Abrir
0,0,2321,0,Abrir
0,0,2318,0,Abrir
0,0,2281,66,Abrir
0,0,2339,191,Abrir
0,0,2297,278,Abrir
0,0,2357,371,Abrir
0,0,2323,171,Abrir
0,0,2321,255,Abrir
0,0,2306,240,Abrir
0,0,2320,304,Abrir
0,0,2327,350,Abrir
0,0,2337,539,Abrir
0,0,2327,699,Abrir
0,0,2320,617,Abrir
0,0,2319,592,Abrir
0,0,2306,731,Abrir
0,0,2325,592,Abrir
0,0,2349,597,Abrir
0,0,2345,526,Abrir
0,0,2299,566,Abrir
0,0,2314,605,Abrir
0,0,2301,529,Abrir
0,0,2320,497,Abrir
0,0,2320,367,Abrir
0,0,2293,318,Abrir
0,0,2333,350,Abrir
0,0,2321,300,Abrir
0,0,2352,262,Abrir
0,0,2291,414,Abrir
0,0,2323,458,Abrir
0,0,2302,357,Abrir
0,0,2346,454,Abrir
0,0,2323,315,Abrir
0,0,2324,391,Abrir
0,0,2351,400,Abrir
0,0,2331,349,Abrir
0,0,2347,268,Abrir
0,0,2292,313,Abrir
0,0,2336,257,Abrir
0,0,2317,195,Abrir
0,0,2340,244,Abrir
0,0,2320,258,Abrir
0,0,2320,144,Abrir
0,0,2309,144,Abrir
0,0,2338,212,Abrir
0,0,2338,277,Abrir
0,0,2322,159,Abrir
0,0,2326,63,Abrir
0,0,2336,0,Abrir
0,0,2294,0,Abrir
0,0,2282,0,Abrir
0,0,2324,0,Abrir
0,0,2307,0,Abrir
0,0,2309,0,Abrir
0,0,2318,0,Abrir
0,0,2345,0,Abrir
0,0,2291,0,Abrir
0,0,2353,0,Abrir
0,0,2323,0,Abrir
0,0,2346,0,Abrir
0,0,2330,0,Abrir
0,0,2320,0,Abrir
0,0,2308,0,Abrir
0,0,2302,0,Abrir
0,0,2352,0,Abrir
0,0,2311,0,Abrir
0,0,2354,0,Abrir
0,0,2315,0,Abrir
0,0,2338,67,Abrir
0,0,2315,118,Abrir
0,0,2343,175,Abrir
0,0,2352,243,Abrir
0,0,2341,272,Abrir
0,0,2320,278,Abrir
0,0,2306,233,Abrir
0,0,2294,283,Abrir
0,0,2326,272,Abrir
0,0,2290,287,Abrir
0,0,2330,217,Abrir
0,0,2326,382,Abrir
0,0,2331,341,Abrir
0,0,2313,448,Abrir
0,0,2301,420,Abrir
0,0,2309,440,Abrir
0,0,2316,479,Abrir
0,0,2294,489,Abrir
0,0,2343,528,Abrir
0,0,2290,543,Abrir
0,0,2335,487,Abrir
0,0,2362,494,Abrir
0,0,2315,449,Abrir
0,0,2308,640,Abrir
0,0,2338,665,Abrir
0,0,2325,442,Abrir
0,0,2290,433,Abrir
0,0,2331,391,Abrir
0,0,2337,382,Abrir
0,0,2346,506,Abrir
0,0,2335,451,Abrir
0,0,2327,416,Abrir
0,0,2314,550,Abrir
0,0,2310,495,Abrir
0,0,2351,415,Abrir
0,0,2295,331,Abrir
0,0,2311,361,Abrir
0,0,2295,434,Abrir
0,0,2351,335,Abrir
0,0,2321,159,Abrir
0,0,2350,74,Abrir
0,0,2330,44,Abrir
0,0,2302,0,Abrir
0,0,2335,0,Abrir
0,0,2306,0,Abrir
0,0,2346,0,Abrir
0,0,2314,0,Abrir
0,0,2303,0,Abrir
0,0,2302,0,Abrir
0,0,2352,0,Abrir
0,0,2326,0,Abrir
0,0,2327,0,Abrir
0,0,2304,0,Abrir
0,0,2320,0,Abrir
0,0,2323,0,Abrir
0,0,2297,0,Abrir
0,0,2314,0,Abrir
0,0,2320,0,Abrir
0,0,2302,0,Abrir
0,0,2355,0,Abrir
0,0,2319,6,Abrir
0,0,2336,165,Abrir
0,0,2317,213,Abrir
0,0,2342,277,Abrir
0,0,2326,351,Abrir
0,0,2318,271,Abrir
0,0,2309,336,Abrir
0,0,2322,305,Abrir
0,0,2319,231,Abrir
0,0,2352,145,Abrir
0,0,2298,304,Abrir
0,0,2339,304,Abrir
0,0,2315,379,Abrir
0,0,2327,377,Abrir
0,0,2336,528,Abrir
0,0,2336,615,Abrir
0,0,2329,509,Abrir
0,0,2322,570,Abrir
0,0,2286,464,Abrir
0,0,2299,605,Abrir
0,0,2339,460,Abrir
0,0,2321,673,Abrir
0,0,2302,674,Abrir
0,0,2318,528,Abrir
0,0,2323,511,Abrir
0,0,2352,651,Abrir
0,0,2357,592,Abrir
0,0,2282,618,Abrir
0,0,2338,591,Abrir
0,0,2349,619,Abrir
0,0,2343,467,Abrir
0,0,2320,361,Abrir
0,0,2311,298,Abrir
0,0,2352,433,Abrir
0,0,2315,333,Abrir
0,0,2339,247,Abrir
0,0,2320,336,Abrir
0,0,2318,337,Abrir
0,0,2365,333,Abrir
0,0,2311,283,Abrir
0,0,2327,336,Abrir
0,0,2314,375,Abrir
0,0,2343,259,Abrir
0,0,2342,64,Abrir
0,0,2348,118,Abrir
0,0,2350,59,Abrir
0,0,2368,19,Abrir
0,0,2352,0,Abrir
0,0,2315,0,Abrir
0,0,2275,0,Abrir
0,0,2340,0,Abrir
0,0,2333,0,Abrir
0,0,2352,0,Abrir
0,0,2323,0,Abrir
0,0,2321,0,Abrir
0,0,2343,0,Abrir
0,0,2369,0,Abrir
0,0,2305,0,Abrir
0,0,2327,0,Abrir
0,0,2301,0,Abrir
0,0,2363,0,Abrir
0,0,2288,0,Abrir
0,0,2357,0,Abrir
0,0,2319,0,Abrir
0,0,2333,0,Abrir
0,0,2320,0,Abrir
0,0,2291,0,Abrir
0,0,2305,0,Abrir
0,0,2352,0,Abrir
0,0,2339,43,Abrir
