S1,S2,S3,S4,Clase
0,0,2323,0,Cerrar
0,0,2351,0,Cerrar
0,0,2321,0,Cerrar
0,0,2345,0,Cerrar
0,0,2352,0,Cerrar
0,0,2321,0,Cerrar
0,0,2331,0,Cerrar
0,0,2320,0,Cerrar
0,0,2347,0,Cerrar
0,0,2342,0,Cerrar
0,0,2295,70,Cerrar
0,0,2329,11,Cerrar
0,0,2320,0,Cerrar
0,0,2358,0,Cerrar
0,0,2322,0,Cerrar
0,0,2349,0,Cerrar
0,0,2330,12,Cerrar
0,0,2331,240,Cerrar
0,0,2330,615,Cerrar
0,0,2352,551,Cerrar
0,0,2341,686,Cerrar
0,0,2335,543,Cerrar
0,0,2335,424,Cerrar
0,0,2345,300,Cerrar
0,0,2336,244,Cerrar
0,0,2318,147,Cerrar
0,0,2326,150,Cerrar
0,0,2365,138,Cerrar
0,0,2306,241,Cerrar
0,0,2334,163,Cerrar
0,0,2347,175,Cerrar
0,0,2325,133,Cerrar
0,0,2341,145,Cerrar
0,0,2333,95,Cerrar
0,0,2351,105,Cerrar
0,0,2357,89,Cerrar
0,0,2334,29,Cerrar
0,0,2320,48,Cerrar
0,0,2381,7,Cerrar
0,0,2303,33,Cerrar
0,0,2294,19,Cerrar
0,0,2348,0,Cerrar
0,0,2309,0,Cerrar
0,0,2335,0,Cerrar
0,0,2331,0,Cerrar
0,0,2314,0,Cerrar
0,0,2351,0,Cerrar
0,0,2349,25,Cerrar
0,0,2299,214,Cerrar
0,0,2323,432,Cerrar
23,0,2319,208,Cerrar
48,0,2309,137,Cerrar
58,50,2319,76,Cerrar
67,75,2320,62,Cerrar
125,0,2340,18,Cerrar
23,0,2322,0,Cerrar
0,0,2334,0,Cerrar
0,0,2327,0,Cerrar
0,0,2286,7,Cerrar
0,0,2311,0,Cerrar
0,0,2340,0,Cerrar
42,0,2317,0,Cerrar
0,0,2319,0,Cerrar
35,0,2320,0,Cerrar
0,0,2323,0,Cerrar
0,0,2341,0,Cerrar
0,0,2343,0,Cerrar
0,0,2288,212,Cerrar
31,0,2288,534,Cerrar
27,0,2288,1303,Cerrar
143,0,2317,1439,Cerrar
80,0,2317,1288,Cerrar
0,0,2331,912,Cerrar
0,0,2317,640,Cerrar
0,0,2345,317,Cerrar
0,0,2361,362,Cerrar
0,0,2321,183,Cerrar
0,0,2338,168,Cerrar
0,0,2318,261,Cerrar
0,0,2333,251,Cerrar
0,0,2329,261,Cerrar
0,0,2305,132,Cerrar
0,0,2339,123,Cerrar
0,0,2338,78,Cerrar
0,0,2309,51,Cerrar
0,0,2352,125,Cerrar
0,0,2327,68,Cerrar
0,0,2334,95,Cerrar
0,0,2320,30,Cerrar
0,0,2271,105,Cerrar
0,0,2315,18,Cerrar
0,0,2346,28,Cerrar
0,0,2320,34,Cerrar
0,0,2329,13,Cerrar
0,0,2327,91,Cerrar
0,0,2350,0,Cerrar
0,0,2319,0,Cerrar
0,0,2339,35,Cerrar
0,0,2342,0,Cerrar
0,0,2320,7,Cerrar
0,0,2318,10,Cerrar
0,0,2359,144,Cerrar
0,0,2323,0,Cerrar
0,0,2317,58,Cerrar
0,0,2315,0,Cerrar
0,0,2347,0,Cerrar
0,0,2352,0,Cerrar
0,0,2341,0,Cerrar
0,0,2320,14,Cerrar
0,0,2332,83,Cerrar
0,0,2322,28,Cerrar
0,0,2328,0,Cerrar
0,0,2327,0,Cerrar
0,0,2352,0,Cerrar
0,0,2321,0,Cerrar
0,0,2323,0,Cerrar
0,0,2327,0,Cerrar
0,0,2345,0,Cerrar
0,0,2335,0,Cerrar
0,0,2304,0,Cerrar
0,0,2336,0,Cerrar
0,0,2314,18,Cerrar
0,0,2302,0,Cerrar
0,0,2320,0,Cerrar
0,0,2348,0,Cerrar
0,0,2299,0,Cerrar
0,0,2347,0,Cerrar
0,0,2334,208,Cerrar
0,0,2371,114,Cerrar
0,0,2327,208,Cerrar
0,0,2303,486,Cerrar
11,0,2315,507,Cerrar
67,0,2347,988,Cerrar
0,0,2339,816,Cerrar
0,0,2367,446,Cerrar
0,0,2349,309,Cerrar
0,0,2325,195,Cerrar
0,0,2295,174,Cerrar
0,0,2331,202,Cerrar
0,0,2303,214,Cerrar
0,0,2320,183,Cerrar
0,0,2294,194,Cerrar
0,0,2327,141,Cerrar
0,0,2320,106,Cerrar
0,0,2293,171,Cerrar
0,0,2299,66,Cerrar
0,0,2352,70,Cerrar
0,0,2303,62,Cerrar
0,0,2350,113,Cerrar
0,0,2306,7,Cerrar
0,0,2331,46,Cerrar
0,0,2351,14,Cerrar
0,0,2327,98,Cerrar
0,0,2330,77,Cerrar
0,0,2334,63,Cerrar
0,0,2352,112,Cerrar
0,0,2331,128,Cerrar
0,0,2357,45,Cerrar
0,0,2323,0,Cerrar
0,0,2320,0,Cerrar
0,0,2337,0,Cerrar
0,0,2288,25,Cerrar
0,0,2339,0,Cerrar
0,0,2320,0,Cerrar
0,0,2320,0,Cerrar
0,0,2323,0,Cerrar
0,0,2325,0,Cerrar
0,0,2304,0,Cerrar
0,0,2289,0,Cerrar
0,0,2343,0,Cerrar
0,0,2308,0,Cerrar
0,0,2355,0,Cerrar
0,0,2358,0,Cerrar
0,0,2311,0,Cerrar
0,0,2358,0,Cerrar
0,0,2353,0,Cerrar
0,0,2322,0,Cerrar
0,0,2297,0,Cerrar
0,0,2322,0,Cerrar
0,0,2311,0,Cerrar
0,0,2320,0,Cerrar
0,0,2290,0,Cerrar
0,0,2311,0,Cerrar
0,0,2320,0,Cerrar
0,0,2343,0,Cerrar
0,0,2320,0,Cerrar
0,0,2338,0,Cerrar
0,0,2331,0,Cerrar
0,0,2330,0,Cerrar
0,0,2330,0,Cerrar
0,0,2331,0,Cerrar
0,0,2304,0,Cerrar
0,0,2313,0,Cerrar
0,0,2343,0,Cerrar
0,0,2330,0,Cerrar
0,0,2306,0,Cerrar
0,0,2326,0,Cerrar
0,0,2319,544,Cerrar
22,0,2316,1057,Cerrar
0,0,2351,951,Cerrar
0,0,2323,805,Cerrar
0,0,2309,599,Cerrar
0,0,2290,366,Cerrar
0,0,2315,404,Cerrar
0,0,2325,195,Cerrar
0,0,2320,142,Cerrar
0,0,2351,113,Cerrar
0,0,2298,27,Cerrar
0,0,2314,79,Cerrar
0,0,2331,159,Cerrar
0,0,2336,209,Cerrar
0,0,2319,174,Cerrar
0,0,2319,77,Cerrar
0,0,2338,38,Cerrar
0,0,2338,94,Cerrar
0,0,2328,46,Cerrar
0,0,2304,30,Cerrar
0,0,2317,54,Cerrar
0,0,2330,23,Cerrar
0,0,2357,128,Cerrar
0,0,2326,0,Cerrar
0,0,2311,14,Cerrar
0,0,2313,0,Cerrar
0,0,2325,0,Cerrar
0,0,2315,0,Cerrar
0,0,2339,0,Cerrar
0,0,2330,0,Cerrar
0,0,2331,0,Cerrar
0,0,2323,0,Cerrar
0,0,2337,0,Cerrar
0,0,2320,0,Cerrar
0,0,2352,0,Cerrar
0,0,2330,0,Cerrar
0,0,2317,0,Cerrar
0,0,2327,0,Cerrar
0,0,2320,0,Cerrar
0,0,2309,0,Cerrar
