S1,S2,S3,S4,Clase
0,0,2351,141,Indice
0,0,2338,112,Indice
0,0,2335,193,Indice
0,0,2313,166,Indice
0,0,2316,188,Indice
0,0,2330,185,Indice
0,0,2273,144,Indice
0,0,2337,87,Indice
0,0,2304,34,Indice
0,0,2273,48,Indice
0,0,2356,111,Indice
0,0,2295,169,Indice
0,0,2331,158,Indice
0,0,2345,76,Indice
0,0,2327,105,Indice
0,0,2339,144,Indice
0,0,2335,134,Indice
0,0,2367,25,Indice
0,0,2305,65,Indice
0,0,2305,16,Indice
0,0,2325,149,Indice
0,0,2326,224,Indice
0,0,2292,69,Indice
0,0,2334,159,Indice
0,0,2304,37,Indice
0,0,2320,107,Indice
0,0,2281,160,Indice
0,0,2323,144,Indice
0,0,2352,144,Indice
0,0,2350,166,Indice
0,0,2284,310,Indice
0,0,2311,402,Indice
0,0,2327,384,Indice
0,0,2379,207,Indice
0,0,2321,118,Indice
0,0,2334,215,Indice
0,0,2310,143,Indice
0,0,2310,80,Indice
0,0,2343,224,Indice
0,0,2335,217,Indice
0,0,2343,164,Indice
0,0,2320,241,Indice
0,0,2323,176,Indice
0,0,2306,217,Indice
0,0,2349,198,Indice
0,0,2341,351,Indice
0,0,2309,148,Indice
0,0,2349,343,Indice
0,0,2315,343,Indice
0,0,2351,336,Indice
0,0,2322,311,Indice
0,0,2327,347,Indice
0,0,2332,257,Indice
0,0,2326,305,Indice
0,0,2334,165,Indice
0,0,2329,283,Indice
0,0,2319,171,Indice
0,0,2335,161,Indice
0,0,2307,250,Indice
0,0,2290,266,Indice
0,0,2309,304,Indice
0,0,2352,413,Indice
0,0,2339,266,Indice
0,0,2334,178,Indice
0,0,2342,215,Indice
0,0,2350,185,Indice
0,0,2320,240,Indice
0,0,2304,183,Indice
0,0,2303,205,Indice
0,0,2323,175,Indice
0,0,2320,147,Indice
0,0,2320,461,Indice
0,0,2341,443,Indice
0,0,2352,587,Indice
0,0,2320,371,Indice
0,0,2315,254,Indice
0,0,2337,210,Indice
0,0,2351,255,Indice
0,0,2348,199,Indice
0,0,2347,240,Indice
0,0,2321,126,Indice
0,0,2347,231,Indice
0,0,2337,279,Indice
0,0,2290,192,Indice
0,0,2336,251,Indice
0,0,2295,194,Indice
0,0,2305,191,Indice
0,0,2288,185,Indice
0,0,2320,86,Indice
0,0,2318,112,Indice
0,0,2339,139,Indice
0,0,2347,48,Indice
0,0,2320,64,Indice
0,0,2356,93,Indice
0,0,2291,18,Indice
0,0,2316,137,Indice
0,0,2352,80,Indice
0,0,2322,173,Indice
0,0,2333,208,Indice
0,0,2301,238,Indice
0,0,2322,253,Indice
0,0,2327,445,Indice
0,0,2359,414,Indice
0,0,2294,298,Indice
0,0,2287,242,Indice
0,0,2328,316,Indice
0,0,2341,304,Indice
0,0,2352,317,Indice
0,0,2352,281,Indice
0,0,2347,226,Indice
0,0,2319,320,Indice
0,0,2352,265,Indice
0,0,2294,309,Indice
0,0,2320,259,Indice
0,0,2332,341,Indice
0,0,2365,253,Indice
0,0,2293,375,Indice
0,0,2311,346,Indice
0,0,2339,265,Indice
0,0,2341,239,Indice
0,0,2334,310,Indice
0,0,2323,449,Indice
0,0,2341,177,Indice
0,0,2309,209,Indice
0,0,2330,211,Indice
0,0,2349,263,Indice
0,0,2317,220,Indice
0,0,2317,143,Indice
0,0,2279,160,Indice
0,0,2357,306,Indice
