S1,S2,S3,S4,Clase
0,0,2266,211,Pinza
0,0,2276,96,Pinza
0,0,2275,46,Pinza
0,0,2256,6,Pinza
0,0,2278,30,Pinza
0,0,2242,52,Pinza
0,0,2281,76,Pinza
0,0,2287,129,Pinza
0,0,2299,52,Pinza
0,0,2273,29,Pinza
0,0,2288,19,Pinza
0,0,2279,129,Pinza
0,0,2260,138,Pinza
0,0,2294,197,Pinza
0,0,2293,189,Pinza
0,0,2266,164,Pinza
0,0,2291,145,Pinza
0,0,2261,155,Pinza
0,0,2291,86,Pinza
0,0,2268,5,Pinza
0,0,2285,16,Pinza
0,0,2263,17,Pinza
0,0,2271,25,Pinza
0,0,2265,0,Pinza
0,0,2281,0,Pinza
0,0,2287,0,Pinza
0,0,2297,0,Pinza
0,0,2290,0,Pinza
0,0,2299,0,Pinza
0,0,2259,107,Pinza
0,0,2304,80,Pinza
0,0,2287,1,Pinza
0,0,2275,70,Pinza
0,0,2270,6,Pinza
0,0,2287,47,Pinza
0,0,2254,10,Pinza
0,0,2314,29,Pinza
0,0,2315,0,Pinza
0,0,2289,63,Pinza
0,0,2288,59,Pinza
0,0,2257,16,Pinza
0,0,2282,16,Pinza
0,0,2240,0,Pinza
0,0,2263,0,Pinza
0,0,2263,0,Pinza
0,0,2271,0,Pinza
0,0,2256,18,Pinza
0,0,2288,0,Pinza
0,0,2260,0,Pinza
0,0,2261,0,Pinza
0,0,2274,0,Pinza
0,0,2278,0,Pinza
0,0,2292,0,Pinza
0,0,2277,0,Pinza
0,0,2255,0,Pinza
0,0,2265,0,Pinza
0,0,2278,0,Pinza
0,0,2270,0,Pinza
176,0,2247,0,Pinza
45,0,2301,0,Pinza
0,0,2271,0,Pinza
0,0,2239,0,Pinza
0,0,2283,0,Pinza
0,0,2273,0,Pinza
0,0,2256,0,Pinza
0,0,2256,0,Pinza
0,0,2226,190,Pinza
0,0,2255,366,Pinza
0,0,2263,807,Pinza
0,0,2283,605,Pinza
0,0,2259,597,Pinza
0,0,2239,575,Pinza
0,0,2237,551,Pinza
0,0,2256,421,Pinza
0,0,2245,316,Pinza
0,0,2278,284,Pinza
0,0,2241,284,Pinza
0,0,2266,241,Pinza
0,0,2273,256,Pinza
0,0,2276,334,Pinza
0,0,2249,268,Pinza
0,0,2291,195,Pinza
0,0,2274,80,Pinza
0,0,2250,0,Pinza
0,0,2233,18,Pinza
0,0,2257,16,Pinza
0,0,2270,11,Pinza
0,0,2288,12,Pinza
0,0,2273,0,Pinza
0,0,2278,0,Pinza
0,0,2262,0,Pinza
0,0,2238,0,Pinza
0,0,2233,0,Pinza
0,0,2251,0,Pinza
0,0,2244,0,Pinza
0,0,2241,0,Pinza
0,0,2299,0,Pinza
0,0,2262,0,Pinza
0,0,2239,0,Pinza
0,0,2279,0,Pinza
0,0,2293,0,Pinza
0,0,2262,0,Pinza
0,0,2279,0,Pinza
0,0,2244,0,Pinza
0,0,2261,0,Pinza
0,0,2277,0,Pinza
0,0,2272,0,Pinza
0,0,2259,0,Pinza
0,0,2240,3,Pinza
0,0,2257,0,Pinza
0,0,2283,0,Pinza
0,0,2221,3,Pinza
0,0,2269,0,Pinza
0,0,2281,0,Pinza
0,0,2262,0,Pinza
0,0,2272,0,Pinza
0,0,2275,19,Pinza
0,0,2270,0,Pinza
0,0,2279,73,Pinza
0,0,2263,208,Pinza
0,0,2219,175,Pinza
0,0,2254,308,Pinza
0,0,2245,161,Pinza
0,0,2288,325,Pinza
0,0,2271,351,Pinza
0,0,2287,459,Pinza
0,0,2239,368,Pinza
0,0,2288,481,Pinza
0,0,2241,464,Pinza
0,0,2278,359,Pinza
0,0,2225,265,Pinza
0,0,2224,289,Pinza
0,0,2252,135,Pinza
0,0,2227,272,Pinza
0,0,2288,161,Pinza
0,0,2249,176,Pinza
0,0,2259,172,Pinza
0,0,2281,135,Pinza
0,0,2302,122,Pinza
0,0,2289,27,Pinza
0,0,2279,59,Pinza
0,0,2266,0,Pinza
0,0,2272,16,Pinza
0,0,2302,2,Pinza
0,0,2271,0,Pinza
0,0,2271,0,Pinza
0,0,2245,0,Pinza
0,0,2235,0,Pinza
0,0,2277,0,Pinza
0,0,2259,10,Pinza
585,0,2281,0,Pinza
89,0,2269,0,Pinza
0,0,2273,0,Pinza
0,0,2277,0,Pinza
0,0,2290,0,Pinza
0,0,2244,0,Pinza
0,0,2242,0,Pinza
0,0,2243,0,Pinza
0,0,2262,0,Pinza
0,0,2256,0,Pinza
0,0,2269,0,Pinza
0,0,2304,0,Pinza
0,0,2267,0,Pinza
0,0,2283,0,Pinza
1275,0,2281,0,Pinza
339,0,2256,0,Pinza
17,0,2274,0,Pinza
0,0,2287,0,Pinza
0,0,2260,0,Pinza
0,0,2259,0,Pinza
0,0,2270,0,Pinza
0,0,2284,0,Pinza
0,0,2259,0,Pinza
